episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,42,-2.8694278104726716
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,42,-3.676442582824137
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,42,-2.2152339072670264
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,42,-3.231302944483218
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,42,-2.4221226510396194
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,42,-2.0047235326966493
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,human,58,-1.3876877235320935
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,58,-2.6804842506040294
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,58,-3.3857743912223635
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,58,-2.1176891952135097
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,58,-2.2598230751220574
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,58,-2.3231276039531137
human__k1-2c6xw4w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,58,-1.9954356448781836
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,human,23,-1.6581950120773585
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,23,-3.4687550213159835
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,23,-4.24056684308059
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,23,-1.7526030713999388
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,23,-2.2645641090012005
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,23,-2.805433106799714
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,23,-1.8678254266046357
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,human,20,-1.4989187246209774
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,20,-3.0251603249224663
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,20,-4.091252627499129
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,20,-2.052859470986273
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,20,-1.743669243507312
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,20,-2.685757924663656
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,20,-2.1207105056961724
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,human,9,-2.1487770692414956
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,9,-3.1893144682311427
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,9,-2.661045422404589
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,9,-2.169638453689508
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,9,-4.5367410346605705
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,9,-2.893169610783717
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,9,-1.8783106033332717
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,human,89,-1.6925051028286353
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,89,-1.8120382816628327
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,89,-2.0924898123855695
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,89,-2.0914756844565248
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,89,-3.016583323691443
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,89,-2.2437625573170252
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,89,-2.4991712653771363
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,human,93,-1.3024965800636983
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,93,-3.3809895326966415
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,93,-4.038013425456751
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,93,-1.7794257019542556
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,93,-2.2044342412243014
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,93,-2.5509006723963
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,93,-2.2502744000549733
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,human,35,-1.4987139129015514
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,35,-2.2067167924078652
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,35,-2.5406588879476617
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,35,-1.9024014515722318
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,35,-3.4593751712986873
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,35,-1.915516299124397
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,35,-1.9880382118282365
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,human,85,-1.205861109122422
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,85,-3.0863909779681724
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,85,-3.5435843447152693
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,85,-2.012886489880349
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,85,-2.3841302899479486
