type,collection_name,version,aliases,full_name,created_at
episode_data,episode-distance_abbrev_qwen35_4b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-00:latest,2026-05-05T18:56:32+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-01:latest,2026-05-05T18:56:52+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-02:latest,2026-05-05T18:57:21+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-03:latest,2026-05-05T18:57:55+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-04:latest,2026-05-05T18:58:26+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-05:latest,2026-05-05T18:58:46+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-06:latest,2026-05-05T18:59:18+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-07:latest,2026-05-05T18:59:48+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-08:latest,2026-05-05T19:00:20+00:00
episode_data,episode-distance_abbrev_qwen35_4b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_4b_10runs-09:latest,2026-05-05T19:00:39+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-00:latest,2026-05-05T19:02:54+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-01:latest,2026-05-05T19:03:35+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-02:latest,2026-05-05T19:04:14+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-03:latest,2026-05-05T19:04:46+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-04:latest,2026-05-05T19:05:18+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-05:latest,2026-05-05T19:06:02+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-06:latest,2026-05-05T19:06:31+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-07:latest,2026-05-05T19:07:01+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-08:latest,2026-05-05T19:08:02+00:00
episode_data,episode-distance_abbrev_qwen35_9b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abbrev_qwen35_9b_10runs-09:latest,2026-05-05T19:08:36+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-00:latest,2026-05-05T20:04:09+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-01:latest,2026-05-05T20:04:15+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-02:latest,2026-05-05T20:04:29+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-03:latest,2026-05-05T20:04:38+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-04:latest,2026-05-05T20:05:17+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-05:latest,2026-05-05T20:05:38+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-06:latest,2026-05-05T20:05:54+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-07:latest,2026-05-05T20:06:03+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-08:latest,2026-05-05T20:06:23+00:00
episode_data,episode-distance_abstract_gemma3_4b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_gemma3_4b_10runs-09:latest,2026-05-05T20:06:39+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-00:latest,2026-05-05T19:52:02+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-01:latest,2026-05-05T19:52:58+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-02:latest,2026-05-05T19:53:57+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-03:latest,2026-05-05T19:54:42+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-04:latest,2026-05-05T19:55:49+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-05:latest,2026-05-05T19:56:41+00:00
episode_data,episode-distance_abstract_llama31_8b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_llama31_8b_10runs-06:latest,2026-05-05T19:57:31+00:00
