episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,33,-4.003329545097822
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,33,-3.9831860632127096
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,33,-3.661243304901812
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,33,-3.104099647960897
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,33,-3.768567473845937
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,33,-3.5326209561237683
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,33,-4.488516526429767
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,33,-3.8985572248760176
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,33,-2.667823271061972
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,33,-4.436340829272453
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,33,-2.630393923201829
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,human,30,-1.5684520032456986
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,30,-2.699582648997429
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,30,-3.2478844986370463
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,30,-3.1171148298510514
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,30,-3.05487927415016
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,30,-1.8464257415483791
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,30,-3.185116348894021
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,30,-3.5290654309699483
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,30,-2.5991676066925202
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,30,-4.683473729307279
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,30,-2.2302056227619573
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,30,-4.464054292235095
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,30,-2.119900105644849
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,human,69,-1.3135632501944006
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,69,-4.813279688797108
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,69,-5.0188325504769065
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,69,-4.313721244097673
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,69,-2.7906289315733215
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,69,-2.2726671929362086
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,69,-2.625926324775442
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,69,-2.4064719904364757
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,69,-4.041273416632561
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,69,-4.481529842551247
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,69,-2.097781198891343
