episode_id,source,modality,prompt_condition,condition,model,length,true_hmm_group,pred_hmm_group,is_correct,best_mean_loglik_per_step
model_051,model,simulation,normal,simulation_normal,qwen25_vl_3b,23,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-1.175248300680059
model_052,model,simulation,normal,simulation_normal,qwen25_vl_7b,6,qwen25_vl_7b__simulation__normal,qwen35_9b__text__normal,False,-1.4844342810646856
model_053,model,simulation,normal,simulation_normal,qwen25_vl_7b,10,qwen25_vl_7b__simulation__normal,qwen35_9b__text__normal,False,-1.1388645464666713
model_054,model,simulation,normal,simulation_normal,qwen25_vl_3b,25,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.7724463891920077
model_055,model,simulation,normal,simulation_normal,qwen25_vl_3b,6,qwen25_vl_3b__simulation__normal,qwen25_vl_3b__simulation__normal,True,-0.6457644078706952
model_056,model,simulation,normal,simulation_normal,qwen25_vl_7b,44,qwen25_vl_7b__simulation__normal,qwen25_vl_7b__simulation__normal,True,-1.3261873735563474
model_057,model,chart,normal,chart_normal,qwen25_vl_7b,14,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.9501214136925902
model_058,model,chart,normal,chart_normal,qwen25_vl_3b,5,qwen25_vl_3b__chart__normal,qwen25_vl_3b__simulation__normal,False,-0.7480816580847776
model_059,model,chart,normal,chart_normal,qwen25_vl_7b,5,qwen25_vl_7b__chart__normal,qwen35_4b__text__normal,False,-1.0858880103058781
model_060,model,chart,normal,chart_normal,qwen25_vl_3b,4,qwen25_vl_3b__chart__normal,qwen35_4b__text__normal,False,-0.8523654301967396
model_061,model,chart,normal,chart_normal,qwen25_vl_3b,34,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__normal,True,-1.3783948045303445
model_062,model,chart,normal,chart_normal,qwen25_vl_3b,9,qwen25_vl_3b__chart__normal,qwen25_vl_3b__simulation__normal,False,-0.4874881606485561
model_063,model,chart,normal,chart_normal,qwen25_vl_3b,3,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__student,False,-1.6525459540661052
model_064,model,chart,normal,chart_normal,qwen25_vl_7b,11,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.3610004408706884
model_065,model,chart,normal,chart_normal,qwen25_vl_3b,28,qwen25_vl_3b__chart__normal,qwen25_vl_3b__chart__normal,True,-0.9471037718746125
model_066,model,chart,normal,chart_normal,qwen25_vl_7b,10,qwen25_vl_7b__chart__normal,qwen25_vl_7b__chart__normal,True,-1.3168525972985916
